ID,"Class"
1380,Power
1381,Power
1382,Power
1383,Power
1384,Power
1385,Power
1386,Power
1387,Power
1388,Power
1389,Power
1390,Power
1391,Power
1392,Power
1393,Power
1394,Power
1395,Power
1396,Power
1397,Power
1398,Power
1399,Power
1400,Power
1401,Power
1402,Power
1403,Power
1404,Power
1405,Power
1406,Power
1407,Power
1408,Power
1409,Power
1410,Power
1411,Power
1412,Power
1413,Power
1414,Power
1415,Power
1416,Power
1417,Power
1418,Power
1419,Power
1420,Power
1421,Power
1422,Power
1423,Power
1424,Power
1425,Power
1426,Power
1427,Power
1428,Power
1429,Power
1430,Power
1431,Power
1432,Power
1433,Power
1434,Power
1435,Power
1436,Power
1437,Power
1438,Power
1439,Power
1440,Power
1441,Power
1442,Power
1443,Power
1444,Power
1445,Power
1446,Power
1447,Power
1448,Power
1449,Power
1450,Power
1451,Power
1452,Power
1453,Power
1454,Power
1455,Power
1456,Power
1457,Power
1458,Power
1459,Power
1460,Power
1461,Power
1462,Power
1463,Power
1464,Power
1465,Power
1466,Power
1467,Power
1468,Power
1469,Power
1470,Power
1471,Power
1472,Power
1473,Power
1474,Power
1475,Power
1476,Power
1477,Power
1478,Power
1479,Power
1480,Power
1481,Power
1482,Power
1483,Power
1484,Power
1485,Power
1486,Power
1487,Power
1488,Power
1489,Power
1490,Power
1491,Power
1492,Power
1493,Power
1494,Power
1495,Power
1496,Power
1497,Power
1498,Power
1499,Power
