ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
395,democrat,y,y,unknown,unknown,unknown,y,n,n,n,n,y,n,y,n,n,y
333,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
382,democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,unknown
409,democrat,y,n,y,n,n,y,y,y,y,n,n,y,unknown,y,y,y
9,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
219,democrat,y,unknown,y,n,n,n,y,y,y,n,unknown,n,n,n,y,unknown
145,democrat,n,unknown,n,n,n,y,y,y,y,y,n,n,n,y,n,unknown
380,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
289,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
97,democrat,n,n,unknown,n,y,y,n,n,n,n,y,y,y,y,n,y
8,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,unknown,y
247,democrat,n,n,y,n,y,n,y,y,y,n,n,n,n,y,unknown,y
357,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
214,democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
91,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
244,democrat,n,y,y,n,n,n,y,y,unknown,y,n,n,y,n,y,y
243,republican,n,n,n,n,y,y,y,n,n,n,n,unknown,n,y,y,y
310,democrat,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
419,democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
137,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
110,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
320,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
125,democrat,n,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
424,democrat,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
394,republican,unknown,unknown,unknown,unknown,n,y,n,y,y,n,n,y,y,n,n,unknown
248,republican,n,y,n,y,y,y,unknown,n,n,n,n,unknown,y,y,n,n
58,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
430,democrat,y,n,y,n,unknown,n,y,y,y,y,n,y,n,unknown,y,y
407,democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
433,republican,n,unknown,n,y,y,y,n,n,n,n,y,y,y,y,n,y
156,republican,y,y,n,y,y,y,n,unknown,n,n,y,y,y,y,n,n
222,democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,unknown
421,republican,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
213,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
238,democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
423,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
218,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
112,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
104,democrat,y,n,n,n,y,y,unknown,n,unknown,n,n,n,n,y,unknown,n
13,democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,unknown,unknown
360,republican,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
151,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
267,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
339,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
44,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
425,democrat,n,y,y,n,n,unknown,y,y,y,y,y,n,unknown,y,y,y
201,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
285,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,unknown,y
415,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
78,democrat,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
246,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
69,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
106,democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
276,democrat,n,n,y,n,y,y,n,n,n,n,unknown,n,y,y,n,n
4,democrat,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
387,democrat,n,unknown,y,n,y,y,n,y,n,n,y,n,n,n,n,unknown
62,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
19,republican,n,y,n,y,y,y,n,n,n,n,n,unknown,y,y,n,n
301,republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
406,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
113,democrat,n,unknown,y,n,n,y,y,y,n,y,n,n,n,n,y,unknown
26,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
359,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,unknown
142,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,unknown,y
35,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
76,democrat,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
429,democrat,unknown,unknown,unknown,n,n,n,y,y,y,y,n,n,y,n,y,y
101,democrat,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
273,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,unknown
322,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
329,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
11,republican,n,y,n,y,y,n,n,n,n,n,unknown,unknown,y,y,n,n
164,republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
198,republican,n,unknown,y,y,y,y,n,n,n,y,n,n,n,y,n,y
379,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
184,democrat,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown
66,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
435,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,unknown,n
341,republican,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
215,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
199,democrat,n,n,y,n,n,n,y,y,y,y,y,n,unknown,n,y,unknown
47,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
60,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
98,democrat,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
313,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
373,democrat,n,y,y,y,y,y,n,n,n,n,y,y,unknown,y,n,n
315,republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
56,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
95,democrat,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
166,democrat,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,unknown
361,democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
264,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
245,democrat,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
138,democrat,n,unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
287,democrat,n,n,y,n,n,y,unknown,y,unknown,y,y,y,n,y,y,unknown
314,republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
45,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,unknown
403,republican,unknown,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
136,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
427,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
327,democrat,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
119,democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
123,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
93,democrat,y,y,y,n,n,n,y,y,n,y,y,n,n,unknown,y,y
149,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
381,democrat,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
77,democrat,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,unknown
190,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
350,republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
220,democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
283,republican,y,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
411,republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
208,republican,y,unknown,n,y,y,y,y,n,n,y,n,y,y,y,n,y
383,democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,unknown
216,democrat,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,unknown
160,democrat,n,y,y,n,unknown,y,y,y,y,y,y,n,n,unknown,n,unknown
85,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
397,democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
386,democrat,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
87,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
158,democrat,n,y,y,n,n,y,n,y,y,n,y,n,unknown,unknown,unknown,unknown
141,republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
324,democrat,y,y,y,n,y,y,n,y,unknown,y,n,n,y,y,n,unknown
30,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
281,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
130,democrat,unknown,unknown,y,n,n,n,y,y,unknown,n,unknown,unknown,unknown,unknown,unknown,unknown
121,republican,n,unknown,unknown,y,y,y,n,n,n,y,n,y,y,y,unknown,y
200,democrat,y,y,n,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
46,democrat,y,y,y,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
388,democrat,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,unknown
144,democrat,unknown,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
217,democrat,y,y,y,n,y,y,n,n,unknown,y,n,n,n,y,y,unknown
176,democrat,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
225,republican,n,y,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
33,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
353,democrat,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,unknown
312,democrat,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
418,democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
298,democrat,y,y,y,n,n,y,y,y,y,y,n,n,unknown,n,y,unknown
12,republican,n,y,n,y,y,y,n,n,n,n,y,unknown,y,y,unknown,unknown
174,democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
228,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,unknown,y
105,democrat,unknown,unknown,unknown,unknown,n,y,y,y,y,y,unknown,n,y,y,n,unknown
308,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,unknown
163,democrat,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
185,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
203,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
274,republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,unknown,y
61,democrat,y,y,y,n,n,unknown,y,y,y,y,n,n,n,n,y,unknown
162,democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
369,democrat,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
255,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
135,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
293,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
234,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
392,democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
365,republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
24,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
414,republican,y,y,y,y,y,y,y,y,n,y,unknown,unknown,unknown,y,n,y
57,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
1,republican,n,y,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
21,democrat,y,y,y,n,n,unknown,y,y,n,n,y,n,n,n,y,y
139,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
345,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
108,republican,n,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown
53,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
