ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
348,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
229,n,y,n,y,y,y,n,n,n,n,n,y,y,unknown,n,y
398,y,y,n,n,y,unknown,n,n,n,n,y,n,y,y,n,y
120,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
96,y,n,y,n,y,y,n,unknown,unknown,n,y,unknown,unknown,unknown,y,y
277,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
39,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
3,unknown,y,y,unknown,y,y,n,n,n,n,y,n,y,y,n,n
233,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,unknown
48,y,n,y,n,n,n,y,y,unknown,n,n,n,n,n,n,unknown
6,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
337,n,n,y,n,n,y,y,y,n,n,y,n,n,y,unknown,y
304,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
55,y,y,y,n,n,y,unknown,y,n,n,y,y,n,y,n,unknown
326,n,y,n,n,y,y,n,n,unknown,n,n,y,y,y,n,y
197,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,unknown
265,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
195,n,n,y,n,n,y,y,unknown,y,y,y,n,n,n,y,y
181,unknown,unknown,y,n,n,n,y,y,y,unknown,unknown,n,n,n,unknown,unknown
268,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
286,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
178,n,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,y
363,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
250,y,n,y,n,n,n,y,y,unknown,n,y,n,n,n,y,y
290,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,unknown
270,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
42,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
204,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
90,n,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,unknown
303,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
169,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,unknown
331,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
242,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
75,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
99,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
118,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
251,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
148,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
155,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
92,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
317,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
100,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,n
70,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
385,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
416,n,y,y,n,n,y,y,y,unknown,y,n,n,n,n,n,y
321,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
256,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
391,unknown,unknown,n,n,unknown,y,unknown,n,n,n,y,y,n,y,n,unknown
332,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
221,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
257,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
358,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
284,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
179,unknown,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,unknown
37,y,unknown,n,y,y,y,n,n,n,y,n,y,unknown,y,n,y
71,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,unknown
63,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,unknown
73,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
88,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
40,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
254,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
412,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
349,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,unknown
186,y,n,y,n,n,n,y,y,y,y,n,unknown,n,n,y,y
22,y,y,y,n,n,n,y,y,y,n,n,n,unknown,unknown,y,y
103,y,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,unknown
366,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
206,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
305,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
400,n,y,n,y,unknown,y,n,n,n,y,n,y,y,y,n,n
389,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,unknown
239,y,y,y,n,n,n,y,y,unknown,y,n,n,n,n,y,unknown
50,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
271,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
28,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
372,y,y,y,n,unknown,n,y,y,y,y,n,n,n,n,y,unknown
212,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
159,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
235,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,unknown
227,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
340,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
291,y,n,y,n,unknown,y,unknown,y,y,y,n,n,y,y,n,y
240,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
83,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
404,n,y,n,y,y,y,n,n,n,y,n,y,unknown,y,n,n
230,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
143,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
79,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
134,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
231,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
249,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
114,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
80,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
272,n,y,y,n,n,y,y,y,y,n,unknown,n,n,n,n,y
434,n,n,n,y,y,y,unknown,unknown,unknown,unknown,n,y,y,y,n,y
299,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
323,y,y,y,n,unknown,y,n,unknown,n,n,y,n,y,y,n,unknown
171,y,n,y,n,n,n,unknown,y,y,unknown,n,n,n,n,y,unknown
307,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
377,y,unknown,y,n,n,n,y,y,y,n,y,n,n,n,y,y
292,y,n,y,n,n,y,y,y,y,y,n,unknown,n,y,n,y
338,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
196,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
177,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
426,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,unknown
187,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
280,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
282,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,unknown
115,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
68,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
295,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,unknown
390,y,n,y,n,n,n,y,y,y,unknown,y,n,n,n,y,unknown
189,y,unknown,n,y,y,y,y,y,n,n,n,y,unknown,y,unknown,unknown
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
175,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
211,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
43,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
278,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
67,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
192,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,n,unknown
207,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
183,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
23,y,unknown,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
226,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,y
116,n,unknown,y,n,unknown,unknown,y,y,y,y,unknown,unknown,n,n,y,y
117,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
420,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
86,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
262,y,n,y,n,n,unknown,y,y,y,n,unknown,unknown,n,unknown,unknown,unknown
167,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
52,n,y,n,y,y,y,n,unknown,n,n,n,y,y,y,n,y
15,n,y,n,y,y,y,n,n,n,n,n,y,unknown,unknown,n,unknown
41,y,y,y,n,n,n,y,y,y,n,unknown,n,n,n,n,unknown
288,y,y,y,unknown,n,y,y,y,y,n,y,n,y,n,unknown,y
132,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
393,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
64,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
2,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
94,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
236,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
232,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
354,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
157,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
210,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
146,n,n,y,n,n,y,y,y,y,y,n,n,n,y,unknown,y
399,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
223,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
371,y,y,y,n,unknown,y,y,y,n,y,unknown,unknown,n,n,y,y
261,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
316,n,y,y,y,y,y,y,unknown,n,n,n,n,unknown,unknown,y,unknown
325,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
260,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
36,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
172,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
128,n,unknown,y,n,n,n,y,y,y,y,y,n,n,y,y,y
89,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
351,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
253,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
306,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
263,y,n,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
65,y,y,y,n,n,n,y,y,y,n,y,unknown,n,n,n,y
17,y,n,y,n,n,y,n,y,unknown,y,y,y,unknown,n,n,y
